"Name", "Име"
"Phone", "Телефон"
"Age", "Години"
"E-mail", "Имейл"
"Submit", "Изпрати"
"Thank you for contacting us", "Благодарим Ви, че се свързахте с нас"
"Unable to submit your request. Please, try again later", "Заявката не беше изпратена. Моля опитайте пак."
"Dimo Malchev", "Димо Малчев"
"Submission", "Запис"
"Submissions", "Записи"
"New Submission", "Нов запис"
"Add New Submission", "Добави нов запис"
"Save Submission", "Запази записа"
"Delete Submission", "Изтрий записа"
"Edit Submission '%s'", "Промяна на запис '%s'"
"This submission no longer exists.", "Този запис вече не съществува"
"The submission has been saved.", "Записът беше запазен"
"The submission has been deleted.", "Записът беше изтрит"
"Unable to find a submission to delete.", "Не беше открит запис за изтриване"
"General Information", "Обща информация"
"Submission Information", "Информация за записа"
"Back", "Назад"
"Save and Continue Edit", "Запиши и Продължи редакцията"
"This is a required field.", "Това поле е задължително."